year,labor contribution,capital contribution,TFP contribution (Trend),TFP contribution (Cycle)
1982,-0.36718414813568023,5.371292522549127,2.0474232694336623,-4.028900059738727
1983,1.6231295652274582,4.458747589880324,2.7271397682056806,5.72290956746595
1984,4.059220052599553,5.662126869353442,2.7622322574195017,1.0064609827683184
1985,1.2062174206615206,3.973693135879006,2.4237422583114814,-6.542762819616082
1986,1.6020575915051558,6.06695124919089,2.143745049360905,6.568290597580247
1987,1.1041351105850286,7.197391697923495,1.3074738579084861,0.44561242306178256
1988,-0.11218026793307423,6.562807819661558,0.3510884069077769,-3.6832283257763936
1989,-1.906577136925432,5.695499816632359,-0.2179535929977868,0.8536438087939482
1990,-3.3111986814652465,5.021542872598834,-0.4815109632889911,-2.4569957546807264
1991,-1.0204396003962601,4.920581748961863,-0.38485951603959084,2.180446148406529
1992,0.14287538487933119,5.171721185216655,-0.26639438407225696,0.0659858068221129
1993,-0.25058841484323596,5.348400328380121,-0.11563931646461591,-0.9120844397304696
1994,0.868317968705433,5.5039487370265965,0.08843966679724401,-0.10566200049689255
1995,-0.7789993562854242,5.413119702381359,0.22094303537035925,1.0739964695500113
1996,-0.9992093959470667,5.547667248885216,0.14006533883226355,1.4412166197933816
1997,0.3492323740503913,6.3079316973520765,-0.12415943811150754,0.36047056988983905
1998,-0.20752234167749564,5.966854075061226,-0.3111026515884775,-3.32730812886033
1999,-0.16403456413905318,5.779437325726863,-0.1024603665437954,2.539969934158385
2000,0.39508918116746056,7.234254834806761,0.28770205145973676,0.8234308697436749
2001,-2.704059529456337,3.617160788811572,1.051714426324659,-9.08029642426193
2002,-0.8756417894573949,3.7951117156185052,2.513655521112499,5.869414424710189
2003,0.6907430293778559,3.8978356440303514,3.544756671002875,2.7304472132351356
2004,1.27756321138111,5.670101394714132,3.9553555191290375,0.11225075851826471
2005,0.16833349686812105,5.029758107599781,3.992661262741861,-0.7638807559628549
2006,0.3249438359623613,5.075151997656658,3.921843220455143,-1.6311020413389319
2007,0.28755968910870683,5.069813457325504,3.8858497899286255,4.473084606715962
2008,0.08570199842506464,2.9897031508601084,3.7666530422078246,-5.6166833270671095
2009,-2.2930653032962893,1.5383063213380612,4.161918585412806,-5.4391848182709355
2010,1.330643360507488,3.390405287567131,4.770642695332902,11.474559180511196
2011,1.322468662951184,2.676444278995956,4.421552076834097,-2.0205564034314785
2012,0.3456295088324691,2.136971610851235,3.779302903664165,-1.0491459973522577
2013,0.1751352893217511,2.561511678660901,3.185262325021846,-2.5936326708931947
2014,0.4795169795647422,2.4723869463465666,2.8129341305295186,4.2486593443027045
2015,0.11695694674860306,2.468606970827847,2.4208408824666505,-3.673267321302191
2016,-0.17734142489998347,2.694524802619618,2.447290638201145,-0.999742242907893
2017,0.22547856938263042,2.2016277586652744,2.7428686836925507,1.9379405658646283
2018,0.29743665590315393,2.1516498680608893,2.9982015460351543,-1.6969265024373867
2019,0.09776487722021682,2.8515625430080354,3.2139862428615835,-4.030725813897999
2020,-0.08380791866288745,2.815117310978329,3.119411551414483,2.6640043817599666
2021,0.25295301648075547,4.17749193036561,1.798750118712817,9.049914689953184
2022,0.16570179026020995,4.564386920721213,-1.2374847071428565,-1.2589125239507997
2023,-0.21088005146457467,2.503313786449628,-5.03079322765947,-4.731710591630875
